timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1733270400000,2024-12-04T00:00:00Z,101-1-1-102024,0.001,
1733270460000,2024-12-04T00:01:00Z,101-1-1-102024,0.001,
1733270520000,2024-12-04T00:02:00Z,101-1-1-102024,0.001,
1733270580000,2024-12-04T00:03:00Z,101-1-1-102024,0.001,
1733270640000,2024-12-04T00:04:00Z,101-1-1-102024,0.004,
1733270700000,2024-12-04T00:05:00Z,101-1-1-102024,0.001,
1733270760000,2024-12-04T00:06:00Z,101-1-1-102024,0.001,
1733270820000,2024-12-04T00:07:00Z,101-1-1-102024,0.001,
1733270880000,2024-12-04T00:08:00Z,101-1-1-102024,0.001,
1733270940000,2024-12-04T00:09:00Z,101-1-1-102024,0.001,
1733271000000,2024-12-04T00:10:00Z,101-1-1-102024,0.001,
1733271060000,2024-12-04T00:11:00Z,101-1-1-102024,0.001,
1733271120000,2024-12-04T00:12:00Z,101-1-1-102024,0.001,
1733271180000,2024-12-04T00:13:00Z,101-1-1-102024,0.004,
1733271240000,2024-12-04T00:14:00Z,101-1-1-102024,0.001,
1733271300000,2024-12-04T00:15:00Z,101-1-1-102024,0.005,
1733271360000,2024-12-04T00:16:00Z,101-1-1-102024,0.003,
1733271420000,2024-12-04T00:17:00Z,101-1-1-102024,0.001,
1733271480000,2024-12-04T00:18:00Z,101-1-1-102024,0.001,
1733271540000,2024-12-04T00:19:00Z,101-1-1-102024,0.001,
1733271600000,2024-12-04T00:20:00Z,101-1-1-102024,0.001,
1733271660000,2024-12-04T00:21:00Z,101-1-1-102024,0.001,
1733271720000,2024-12-04T00:22:00Z,101-1-1-102024,0.001,
1733271780000,2024-12-04T00:23:00Z,101-1-1-102024,0.001,
1733271840000,2024-12-04T00:24:00Z,101-1-1-102024,0.005,
1733271900000,2024-12-04T00:25:00Z,101-1-1-102024,0.001,
1733271960000,2024-12-04T00:26:00Z,101-1-1-102024,0.001,
1733272020000,2024-12-04T00:27:00Z,101-1-1-102024,0.001,
1733272080000,2024-12-04T00:28:00Z,101-1-1-102024,0.001,
1733272140000,2024-12-04T00:29:00Z,101-1-1-102024,0.001,
1733272200000,2024-12-04T00:30:00Z,101-1-1-102024,0.001,
1733272260000,2024-12-04T00:31:00Z,101-1-1-102024,0.001,
1733272320000,2024-12-04T00:32:00Z,101-1-1-102024,0.001,
1733272380000,2024-12-04T00:33:00Z,101-1-1-102024,0.001,
1733272440000,2024-12-04T00:34:00Z,101-1-1-102024,0.001,
1733272500000,2024-12-04T00:35:00Z,101-1-1-102024,0.001,
1733272560000,2024-12-04T00:36:00Z,101-1-1-102024,0.001,
1733272620000,2024-12-04T00:37:00Z,101-1-1-102024,0.001,
1733272680000,2024-12-04T00:38:00Z,101-1-1-102024,0.001,
